doi,categoria,titulo
https://doi.org/10.5281/zenodo.6779359,Presencia de especies,Harmony Point Chinstrap penguin GPS and Time-Depth-Recorder processed data
https://doi.org/10.5281/zenodo.6964830,Presencia de especies,"GPS fixes for foraging Southern Giant Petrels (Macronectes giganteus) breeding in Nelson Island, Maritime Antarctic Peninsula (December 2019-January 2020)"
https://doi.org/10.5281/zenodo.10107603,Físicoquimica,Physicochemical parameters of soils and substrates associated with Peltigera lichens in southern Chile
https://doi.org/10.5281/zenodo.8305178,Presencia de especies,"GPS fixes for foraging Southern Giant Petrels (Macronectes giganteus) breeding in Nelson Island, Maritime Antarctic Peninsula, 2021 to 2023"
https://doi.org/10.5281/zenodo.7044787,Ambientales,"Environmental data for evaluation of Chinstrap Penguin foraging behaviour in Harmony Point, Nelson Island, during two years of contrasting conditions."
https://doi.org/10.5281/zenodo.8302969,Presencia de especies,Tracking data for gentoo penguins (Pygoscelis papua) breeding in two sites on the Western Antarctic Peninsula in season 2022/23
https://doi.org/10.5281/zenodo.13997146,Checklist,SIVFLORA: Southern Islands Vascular Flora dataset
https://doi.org/10.5281/zenodo.14031895,Presencia de especies,Spatial clustering of Neobuccinum eatoni occurrence data for potential distribution modeling
https://doi.org/10.5281/zenodo.11122921,Presencia de especies,"Raw GPS data of Southern Giant Petrels during breeding activity in Escudero Station, King George Island, December 2023 and January 2024."
https://doi.org/10.5281/zenodo.10933608,Presencia de especies,Argos Platform Transmitter Terminal data for 3 Southern Giant Petrel (Macronectes giganteus) during breeding season in Fildes Peninsula.
https://doi.org/10.5281/zenodo.10657404,Presencia de especies,"Processed tracking data of Southern Giant Petrels during breeding activity in Harmony Point, Nelson Island, between 2021 and 2023"
https://doi.org/10.5281/zenodo.10640094,Flujo de trabajo,General methodology for fieldwork with seabirds to monitor Antarctic and Subantarctic ecosystems and Ethical Certifications.
https://doi.org/10.6084/m9.figshare.25939687,Genéticos,Siphonaria lateralis VCF
https://doi.org/10.5281/zenodo.10120243,Presencia de especies,Figures and tables from: Host specialization and spatial divergence of bacteria associated with Peltigera lichens promote landscape gamma diversity
 https://doi.org/10.5061/dryad.b5mkkwhjk,Genéticos,"VCF for neutral data set and potential connectivity matrices of Harpagifer antarcticus, along the Western Antarctic Peninsula"
https://doi.org/10.5281/zenodo.8029857,Fisiología,Supporting Data - Temperature and immunostimulants modulate transcription of the ubiquitin and apoptosis pathways in the Antarctic Harpagifer antarcticus and sub-Antarctic Harpagifer bispinis
https://doi.org/10.5281/zenodo.10524989,Presencia de especies,"Dataset of observations of Trichocera maculipennis (Diptera) in Navarino Island (Cape Horn Biosphere Reserve), Chile"
https://doi.org/10.5281/zenodo.10933869,Presencia de especies,Argos Platform Transmitter Terminal data for 3 Southern Giant Petrel (Macronectes giganteus) during breeding season in Fildes Peninsula.
https://doi.org/10.5281/zenodo.10640094,Flujo de trabajo,General methodology for fieldwork with seabirds to monitor Antarctic and Subantarctic ecosystems and Ethical Certifications.
https://doi.org/10.5281/zenodo.10657404,Presencia de especies,"Processed tracking data of Southern Giant Petrels during breeding activity in Harmony Point, Nelson Island, between 2021 and 2023"
https://doi.org/10.5281/zenodo.10120244,Presencia de especies,Figures and tables from: Host specialization and spatial divergence of bacteria associated with Peltigera lichens promote landscape gamma diversity
https://doi.org/10.5281/zenodo.7460141,Checklist,World Flora Online Plant List June 2025
https://doi.org/10.5281/zenodo.16911083,Presencia de especies,Southern Giant Petrel Macronectes giganteus GPS tracking and bill length
https://doi.org/10.6084/m9.figshare.27257973,Rasgos morfológicos,Constitutive immune function variation across the non-breeding season in an extreme long-distance migrant
https://doi.org/10.5061/dryad.hqbzkh1v5,Genéticos,Bridging the Scotia Arc: Climate-driven shifts in connectivity of the freshwater crustacean Branchinecta gaini in sub-Antarctic and Antarctic ecosystems
https://doi.org/10.6084/m9.figshare.c.7987070.v1,Flujo de trabajo,"Supplementary material from ""Climate-driven range shifts across Subantarctic and Antarctic terrestrial and marine niches in sheathbills (Chionis)"""
